C203	CC(=O)NC1CCN(c2ccc3nncn3n2)C1
C204	CC(=O)N[C@H]1C[C@H](C)S(=O)(=O)c2sccc21
C205	CNC(=O)c1c(C(F)(F)F)nc2n1CCCC2
C206	CC(=O)N1CCOCC1c1nc(-c2cccs2)no1
C207	CC(=O)Nc1ccc2c(c1)CN(c1ccccc1)C2
C208	CC(=O)N1CC(N2CCCC2)CC1C(C)C
C210	CNC(=O)c1cc(-c2c[nH]c3ccccc23)[nH]n1
C211	CC(=O)N1CCC2(CN(Cc3ccccc3)CC(C)O2)C1
C212	CNC(=O)c1cnc2n1C(C)CCC2
C213	COc1cccc(Cl)c1C1CN(C(C)=O)CCO1
C214	CC(=O)NC(C(=O)Nc1cc[nH]n1)c1ccccc1
C215	CNC(=O)C(C)Cc1ccc2c(c1)OCO2
C216	CNC(=O)c1ccc(C)c(C)c1-n1cnnn1
C217	CNC(=O)C1(c2cccnc2)CC(F)(F)C1
C218	CC(=O)Nc1ccc(Cl)c(-n2nnnc2C2CC2)c1
C219	CC(=O)N1CCCC2CCC(F)(F)CC21
C220	CC(=O)N1CCC(c2ccc(F)c(F)c2)C1C
C221	CNC(=O)C1CN2CCCN1CC2
C222	CNC(=O)C1C2CCC1(c1cncs1)C2
C223	COc1ccc(C2C(CNC(C)=O)CCCN2C)cc1
C225	CCN(C(C)=O)c1cc(C)ccc1OC
C226	CC(=O)NC(Cc1ccccn1)C1COc2ccccc2O1
C227	CC(=O)N1C[C@@H]2CCCS(=O)(=O)[C@@H]2C1
C228	CC(=O)N1C[C@@H](O)[C@H](Oc2cccc3c2CCC3)C1
C229	CNC(=O)C1COc2ccc(OC)cc2C1
C230	CC(=O)NCCOC1CCS(=O)(=O)CC1
C231	CC(=O)NCC(C)(O)C1CCC(C(C)C)CC1
C232	CNC(=O)c1cnc2sc(Cc3ccccc3)cn2c1=O
C233	CNC(=O)COc1ccc2c(c1)CCCC2
C234	CNC(=O)C1CC(C)Cc2cn[nH]c21
C235	CC(=O)Nc1ccc2oc(C(F)(F)F)cc(=O)c2c1
C236	CC(=O)N1CCCC(c2n[nH]cc2NS(C)(=O)=O)C1
C237	CCN1CC(NC(C)=O)C(C)(C)C1
C238	CC(=O)NC(Cn1cnc2ccccc21)c1ccc(F)cc1
C239	CC(=O)Nc1cccc2c1oc(=O)n2C
C240	CC(=O)NCCc1cc(C(F)(F)F)co1
C241	CC(=O)NC12CC(N3CCCCC3=O)(C1)C2
C242	CC(=O)N1CCn2cc(C(F)(F)F)nc2C1C
C243	CC(=O)NC1(c2nc3cc(Cl)ccc3o2)CCC1
C244	CNC(=O)C1=NN(c2ccc(F)cc2)C(C(N)=O)C1
C245	CC(=O)NC1CCc2cccc3cccc1c23
C246	CC(=O)NC1C2Cc3cc(Cl)ccc3C21
C247	CC(=O)NC1CC(=O)N(CC(F)(F)F)C1
C248	CCOC1CC(O)(CNC(C)=O)C1(C)C
C249	CNC(=O)c1cc(F)cc2nc(C)c(C)nc12
C250	CC(=O)NCC1(CO)COCC2COCCN21
C251	CNC(=O)CC1=NN(c2cccc(Cl)c2)C(=O)C1
C252	COc1cccc(Cn2[nH]c(C)c3c(NC(C)=O)nnc2-3)c1
C253	CC(=O)NCCS(=O)(=O)N1CCOCC1
C254	CC(=O)N1CC2(CC(S(C)(=O)=O)C2)C1
C255	COc1nsc(OC)c1C(C)NC(C)=O
C256	CNC(=O)C12CCN(CC1)S(=O)(=O)C2
C257	CC(=O)Nc1ccccc1-n1ccc(C(N)=O)n1
C258	CC(=O)Nc1ccc(C(F)F)nc1
C259	CC(=O)NCCN1CC[S+]([O-])CC1
C260	CNC(=O)CS(=O)(=O)c1ccccc1Cl
C261	CC(=O)NCC(c1c(F)cccc1F)N(C)C
C262	CNC(=O)c1cc(NC(=O)C(C)C)c(F)cc1F
C264	CC(=O)NC(C(N)=O)c1ccc2ccccc2c1
C265	CC(=O)N1CCCN(S(=O)(=O)c2ccc(Cl)s2)CC1
C266	CNC(=O)c1ccc2cnc(C3CC3)n2c1C
C268	CC(=O)N1C[C@@H]2CS(=O)(=O)C[C@@]2(C#N)C1
C269	CNC(=O)c1sc(-c2nnc[nH]2)nc1C(C)C
C270	CC(=O)N1CCc2nc(CCC(C)(C)C)ncc2C1
C271	CC(=O)Nc1cc(C2CC2)nn1C1CCS(=O)(=O)C1
C272	CNC(=O)c1ccccc1NC(=O)CC#N
C273	CNC(=O)[C@@H]1C[C@@H]1c1nc(C(F)(F)F)no1
C274	CCn1nc2[nH]c(=O)cc(C(=O)NC)c2c1C1CC1
C275	CC(=O)NCCN1c2ccccc2NS1(=O)=O
C276	CC(=O)NCC1CCCN(CC#N)C1
C277	CC(=O)N1CCC23CCC(CC12)C3(C)C
C278	CC(=O)Nc1ccc2c(c1)C=CC1(CCC1)O2
C279	CC(=O)N1CCC2(CC1)CC(O)c1nn(C)cc1O2
C280	CC(=O)N(C)Cc1cnc(-n2cccn2)s1
C281	CC(=O)NC(CN(C)C)c1ccco1
C282	CC(=O)NCc1cc(Oc2ccc(F)cc2)ccn1
C283	CC(=O)NCc1nn[nH]c1-c1ccnn1C
C284	CNC(=O)c1c(-c2ccccc2)nc2sccn12
C285	CC(=O)N1CCC2(CC1)OCc1ccncc12
C286	COc1cccc(C(O)C2CCN(C(C)=O)CC2)c1
C287	CC(=O)Nc1cccc2oc(C(F)(F)F)nc12
C288	CNC(=O)C1C2CC1(c1ccccc1C)CO2
C289	CC(=O)Nc1cc(CCc2ccccc2C)n[nH]1
C290	CCS(=O)(=O)c1cc(Cl)cc(CNC(C)=O)c1
C291	CC(=O)NC1(CCO)CS(=O)(=O)C1
C292	CC(=O)NCc1cccc(N2C(=O)NC3(CCCC3)C2=O)c1
C293	CC(=O)N1CCCC1C(C#N)c1ccccc1
C294	COc1ccc(C(=O)N2CCN(C)CC2)cc1NC(C)=O
C295	CC(=O)N1CCP(=O)(c2ccccc2)CC1
C296	CNC(=O)c1cc(C)n2ncc(C(C)C)c2n1
C297	CNC(=O)c1cccn1Cc1cccnc1
C298	CC(=O)NC1CCS(=O)(=O)C2(C1)CC(C(N)=O)C2
C299	CNC(=O)Cc1nc(C(C)C)c(C)s1
C300	CCc1nn(C)c(CC(=O)NC)c1Cl
C301	CC(=O)NC(c1ccn[nH]1)C(F)(F)F
C302	CC(=O)N1CCc2nnc(N3C[C@@H]4CN(C)C[C@@H]4C3)cc2C1
C303	CC(=O)N1CCn2c(C(=O)NC(C)C)ccc2C1C
C304	CC(=O)Nc1ccc(-c2cn3cccc(C)c3n2)cc1
C305	CCc1nc2ccc(Cl)cn2c1C(=O)NC
C306	CC(=O)N1CCC(n2nnc3c(=O)[nH][nH]c(=O)c32)CC1
C307	CC(=O)N1CCCC(COC(F)(F)F)C1
C308	CC(=O)N1CC(CC(N)=O)OC(C)(C)C1
C309	CC(=O)N1CCN(C2(C(N)=O)CCOC2)CC1
C310	CC(=O)NCc1cc(C(F)(F)F)ccc1N1CCN(C)CC1
C311	CC(=O)N1CCS(=O)(=O)CC1c1ccc(C)o1
C312	CC(=O)NC1CC2CCC(C1)N2S(C)(=O)=O
C313	CNC(=O)c1nnc(-c2ccccc2OC)[nH]1
C314	CNC(=O)c1cc(C2CC2)nc2c(Cl)cnn12
C316	CC(=O)NCc1nc([C@H]2CN3CCC[C@H]3CO2)no1
C317	CNC(=O)c1cc(S(=O)(=O)NC)cs1
C318	CNC(=O)c1nc(C2CCN(C)CC2)n[nH]1
C319	CC(=O)N1CC(c2n[nH]c3c2COCC3)C1
C320	CNC(=O)c1cc(C)n(-c2ncccn2)c1C
C321	CC(=O)NCC(O)(c1ncc(C)o1)C(F)(F)F
C322	CNC(=O)C1CN(C(=O)Nc2cc(Cl)ccc2OC)C1
C323	CC(=O)NC1(C(N)=O)CC(C(F)F)C1
C326	CNC(=O)c1c(-c2cn(C)nn2)noc1C(F)F
C327	CNC(=O)c1cc2c(o1)C(C)(C)CCNC2=O
C328	CNC(=O)c1cc(C)nc2onc(-c3c(C)nn(C)c3C)c12
C329	CC(=O)N1CCCC(c2[nH]ncc2CN2CCOCC2)C1
C331	COCCN1C(=O)N[C@H]2CN(C(C)=O)CC[C@H]21
C332	CC(=O)N[C@@H]1CCCC[C@@H]1Cc1nn(C)c(=O)n1C
C333	CC(=O)N(C)C(C)c1cccc(N2CCCS2(=O)=O)c1
