FragID	X	Y	CeMM	Highlight	MW	HBD	HBA	cLogP	Heteroatoms	Rings	Rot. Bonds	Aromatic Bonds	Acidic Groups	Basic Groups	Atomic Polarizability
C132	34.12833	-22.877474	1	0	237.147726848	2.0	4.0	0.17721999999999954	5.0	2.0	3.0	5.0	0.0	0.0	38.693067000000006
C133	-7.7958	38.53792	1	0	236.083077992	2.0	4.0	-1.1691999999999987	7.0	1.0	3.0	0.0	0.0	0.0	33.056688
C134	1.7686427	5.1797743	1	0	233.001033888	2.0	2.0	1.7727999999999997	5.0	1.0	2.0	6.0	0.0	0.0	28.905137000000003
C135	4.185454	14.08882	1	0	233.06636322	2.0	2.0	1.1824999999999999	6.0	1.0	2.0	6.0	0.0	0.0	28.642929999999996
C136	2.9052558	50.08534	1	0	231.067762276	2.0	4.0	-1.038999999999999	7.0	1.0	3.0	5.0	0.0	0.0	31.354308999999997
C137	-19.925667	33.71457	1	0	230.108898816	1.0	3.0	1.20807	5.0	2.0	0.0	0.0	0.0	0.0	36.306274
C138	2.1153688	52.438904	1	0	230.04736118	2.0	5.0	-1.4653999999999996	8.0	2.0	1.0	5.0	0.0	0.0	28.69393
C139	15.538448	26.460932	1	0	228.126263132	0.0	2.0	2.3935000000000004	3.0	3.0	0.0	10.0	0.0	0.0	38.310688000000006
C140	3.252081	-33.609856	1	0	223.100856908	0.0	2.0	1.573	4.0	2.0	3.0	6.0	0.0	0.0	33.716102
C141	-33.041214	24.971785	1	0	223.118398792	1.0	1.0	2.635300000000001	5.0	1.0	2.0	0.0	0.0	0.0	31.841688000000005
C142	5.507019	-26.220741	1	0	222.100442308	1.0	4.0	0.6089	5.0	2.0	3.0	6.0	0.0	0.0	33.301102
C143	-4.0346513	-34.597645	1	0	221.060741684	1.0	1.0	1.9716999999999998	3.0	3.0	1.0	6.0	0.0	0.0	33.20351600000001
C144	-7.3000035	48.736053	1	0	220.992883084	2.0	5.0	-0.8498999999999999	8.0	1.0	2.0	5.0	0.0	0.0	24.973551
C145	46.910904	20.369816	1	0	220.076039128	1.0	4.0	1.3647999999999998	6.0	2.0	2.0	11.0	0.0	0.0	29.360137
C146	-16.09306	37.66286	1	0	219.056528896	0.0	4.0	-0.9692999999999989	6.0	2.0	0.0	0.0	0.0	0.0	29.956309
C147	-6.968427	-32.40143	1	0	214.110613068	1.0	2.0	1.72418	3.0	2.0	1.0	6.0	0.0	0.0	35.217102000000004
C148	-41.39129	2.138976	1	0	213.10010796	2.0	4.0	-0.9570999999999996	5.0	4.0	2.0	0.0	0.0	0.0	31.909895
C149	-51.555748	-3.3504038	1	0	198.173213324	1.0	2.0	1.2413	3.0	1.0	3.0	0.0	0.0	1.0	37.031446
C150	31.85189	-23.354797	1	0	196.132411132	2.0	3.0	1.0279999999999998	5.0	1.0	4.0	5.0	0.0	0.0	31.710688000000005
C151	2.9867535	-0.024675667	1	0	186.04629856	2.0	4.0	0.3126	5.0	1.0	3.0	5.0	0.0	0.0	25.69193
C152	-34.60933	13.957177	1	0	178.091769444	1.0	2.0	-0.07070000000000021	5.0	1.0	3.0	0.0	0.0	1.0	24.437515999999995
C153	3.8729506	-39.219193	1	0	209.0874351	0.0	2.0	2.431300000000001	3.0	2.0	0.0	5.0	0.0	0.0	34.163895000000004
C154	35.749676	-16.260244	1	0	220.132411132	1.0	4.0	1.1264999999999996	5.0	3.0	4.0	5.0	0.0	0.0	35.230688
C156	-37.09728	26.728186	1	0	207.087098664	0.0	1.0	1.9497000000000002	5.0	3.0	1.0	0.0	0.0	0.0	27.414516
C157	19.63327	9.205722	1	0	244.113567508	1.0	4.0	0.9141999999999999	7.0	2.0	3.0	5.0	0.0	0.0	33.251102
C158	25.965137	7.5689254	1	0	260.040876744	2.0	3.0	1.4994999999999998	8.0	2.0	1.0	10.0	0.0	0.0	28.544551
C159	55.178154	26.931927	1	0	252.089877624	1.0	3.0	3.308980000000001	4.0	2.0	3.0	12.0	0.0	0.0	38.205516
C160	3.6219184	-30.891254	1	0	251.132157036	2.0	2.0	2.0920000000000005	4.0	2.0	2.0	6.0	0.0	0.0	39.90327400000001
C161	19.787266	27.538841	1	0	254.028061652	1.0	3.0	2.628300000000001	5.0	2.0	3.0	10.0	0.0	0.0	34.776723000000004
C162	8.635805	-6.6443057	1	1	280.15354049999996	1.0	5.0	-0.15539999999999976	7.0	2.0	4.0	5.0	0.0	0.0	43.02186000000001
C163	-35.987743	27.440922	1	0	207.087098664	1.0	1.0	2.0196000000000005	5.0	1.0	1.0	0.0	0.0	0.0	27.414515999999995
C164	-48.84839	-5.057894	1	0	224.188863388	0.0	2.0	1.7291999999999996	3.0	2.0	2.0	0.0	0.0	1.0	41.885032
C165	42.63904	17.720106	1	0	227.105862036	0.0	3.0	1.7344000000000002	4.0	3.0	1.0	11.0	0.0	0.0	35.650309
C166	34.671368	15.807334	1	0	279.100776656	1.0	4.0	1.7452999999999999	5.0	3.0	2.0	17.0	0.0	0.0	41.732309
C167	48.384815	30.261602	1	0	283.132076784	1.0	3.0	1.9943	5.0	2.0	4.0	12.0	0.0	0.0	44.39948100000001
C168	36.079224	-24.496674	1	0	211.095691276	2.0	4.0	-0.308	6.0	2.0	3.0	5.0	0.0	0.0	30.214309
C169	15.192542	25.365522	1	0	216.126263132	2.0	1.0	2.1549199999999997	3.0	2.0	3.0	10.0	0.0	0.0	36.550688
C170	14.952451	-29.597403	1	0	244.15756326	0.0	2.0	1.7676	3.0	3.0	1.0	6.0	0.0	1.0	42.73786000000001
C171	-53.111897	-6.838437	1	0	184.15756326	0.0	2.0	0.9474	3.0	1.0	1.0	0.0	0.0	1.0	33.93786
C172	-2.5659223	-36.97746	1	0	225.096520476	1.0	1.0	2.3469000000000007	4.0	2.0	2.0	6.0	0.0	0.0	32.804309
C173	47.17849	15.09535	1	0	223.052780908	1.0	6.0	0.14759999999999956	7.0	2.0	3.0	10.0	2.0	0.0	29.283137
C174	22.553364	-31.751917	1	0	207.064391148	2.0	4.0	0.3708999999999998	6.0	2.0	1.0	6.0	0.0	0.0	27.547137000000003
C176	23.285475	-11.506323	1	0	180.089877624	1.0	3.0	0.5876000000000001	4.0	1.0	3.0	6.0	0.0	0.0	27.645515999999997
C177	28.95044	6.600194	1	0	238.038768568	1.0	3.0	1.91592	7.0	1.0	2.0	5.0	0.0	0.0	27.654137000000002
C178	0.6414656	-33.465126	1	0	207.125928784	1.0	2.0	1.81834	3.0	1.0	4.0	6.0	0.0	0.0	35.159481
C179	-29.291334	-11.983285	1	0	251.126991404	2.0	3.0	0.12800000000000067	6.0	3.0	0.0	0.0	0.0	0.0	38.161480999999995
C180	-10.581806	42.60694	1	1	218.072513308	2.0	3.0	-0.6531999999999993	6.0	2.0	2.0	0.0	0.0	0.0	30.921101999999998
C182	20.388117	-27.902548	1	0	275.174610292	1.0	5.0	0.2673000000000003	6.0	3.0	4.0	6.0	0.0	1.0	44.94465300000002
