"","Accession","fp_only_abs_sum","Gene_Symbol","comparison","Abundance_Ratio_log2_","selected_pvalues"
"117","Q9BWD1",12.67,"ACAT2","PC_C391_E8_20x__PC_C391_F",-1.25,0.0978569494680822
"118","Q9BWD1",12.67,"ACAT2","PC_C391_E9_20x__PC_C391_F",-1.27,0.0930891226526483
"119","Q9BWD1",12.67,"ACAT2","PC_C391_F__CRF",4.08,5.60350015282873e-05
"120","Q9BWD1",12.67,"ACAT2","screen_C391_F__CRF",4.91,1e-07
"121","Q8N4Q0",12.56,"PTGR3","PC_C391_E1_20x__PC_C391_F",-0.87,0.0646772924519602
"122","Q8N4Q0",12.56,"PTGR3","PC_C391_E10_20x__PC_C391_F",-0.71,0.14883469047198
"123","Q8N4Q0",12.56,"PTGR3","PC_C391_E4_20x__PC_C391_F",-0.99,0.0333142029289126
"124","Q8N4Q0",12.56,"PTGR3","PC_C391_E6_20x__PC_C391_F",-1.53,0.00229250295862471
"125","Q8N4Q0",12.56,"PTGR3","PC_C391_E8_20x__PC_C391_F",-0.65,0.209337113867446
"126","Q8N4Q0",12.56,"PTGR3","PC_C391_E9_20x__PC_C391_F",-2.57,5.79195783984021e-05
"127","Q8N4Q0",12.56,"PTGR3","PC_C391_F__CRF",5.24,1.5714428414082e-07
"128","Q8N4Q0",12.56,"PTGR3","screen_C391_F__CRF",5.8,1.24e-06
"129","P49840",12.52,"GSK3A","PC_C391_E1_20x__PC_C391_F",-1.59,0.00795257100267954
"130","P49840",12.52,"GSK3A","PC_C391_E10_20x__PC_C391_F",-0.88,0.161939762974383
"131","P49840",12.52,"GSK3A","PC_C391_E4_20x__PC_C391_F",-1.45,0.0138862113223676
"132","P49840",12.52,"GSK3A","PC_C391_E6_20x__PC_C391_F",-2.17,0.00103563719822963
"133","P49840",12.52,"GSK3A","PC_C391_E8_20x__PC_C391_F",-1.36,0.0197072706466446
"134","P49840",12.52,"GSK3A","PC_C391_E9_20x__PC_C391_F",-1.46,0.0132825605334188
"135","P49840",12.52,"GSK3A","PC_C391_F__CRF",3.61,2.48903849947579e-05
"136","P49840",12.52,"GSK3A","screen_C391_F__CRF",4.05,4.09e-06
"137","Q9NPH0",12.35,"ACP6","PC_C391_E1_20x__PC_C391_F",-0.91,0.32361772305549
"138","Q9NPH0",12.35,"ACP6","PC_C391_E10_20x__PC_C391_F",-2.1,0.00867322472704191
"139","Q9NPH0",12.35,"ACP6","PC_C391_E4_20x__PC_C391_F",-1.27,0.10572748797529
"140","Q9NPH0",12.35,"ACP6","PC_C391_E6_20x__PC_C391_F",-1.73,0.0251180123391087
"141","Q9NPH0",12.35,"ACP6","PC_C391_E8_20x__PC_C391_F",-1.12,0.170586685704618
"142","Q9NPH0",12.35,"ACP6","PC_C391_E9_20x__PC_C391_F",-1.3,0.093860123180146
"143","Q9NPH0",12.35,"ACP6","PC_C391_F__CRF",3.92,NA
"144","Q9NPH0",12.35,"ACP6","screen_C391_F__CRF",5.97,1.137e-05
"145","Q16850",12.29,"Q16850","PC_C391_E1_20x__PC_C391_F",-1.54,0.0358380506884399
"146","Q16850",12.29,"Q16850","PC_C391_E10_20x__PC_C391_F",-0.68,0.609327781565625
"147","Q16850",12.29,"Q16850","PC_C391_E4_20x__PC_C391_F",-2.47,0.00205386703974897
"148","Q16850",12.29,"Q16850","PC_C391_E6_20x__PC_C391_F",-1.71,0.0203859867719454
"149","Q16850",12.29,"Q16850","PC_C391_E8_20x__PC_C391_F",-1.15,0.139847195550219
"150","Q16850",12.29,"Q16850","PC_C391_E9_20x__PC_C391_F",-1,0.236903171303833
"151","Q16850",12.29,"Q16850","PC_C391_F__CRF",3.74,0.00010777810060902
"152","Q16850",12.29,"Q16850","screen_C391_F__CRF",4.51,1.5e-07
"153","Q8IXU6",12.06,"SLC35F2","PC_C391_E1_20x__PC_C391_F",-0.97,0.489867766292404
"154","Q8IXU6",12.06,"SLC35F2","PC_C391_E10_20x__PC_C391_F",-0.36,0.989610092896262
"155","Q8IXU6",12.06,"SLC35F2","PC_C391_E4_20x__PC_C391_F",-1.27,0.235752234876881
"156","Q8IXU6",12.06,"SLC35F2","PC_C391_E6_20x__PC_C391_F",-1.72,0.0693994064086175
"157","Q8IXU6",12.06,"SLC35F2","PC_C391_E8_20x__PC_C391_F",-1.24,0.256617183497849
"158","Q8IXU6",12.06,"SLC35F2","PC_C391_E9_20x__PC_C391_F",-2.16,0.0212372512141459
"159","Q8IXU6",12.06,"SLC35F2","PC_C391_F__CRF",4.34,0.00021771845080553
"160","Q8IXU6",12.06,"SLC35F2","screen_C391_F__CRF",4.35,5.117e-05
"161","Q567V2",11.78,"MPV17L2","PC_C391_E1_20x__PC_C391_F",-0.84,0.456654048556711
"162","Q567V2",11.78,"MPV17L2","PC_C391_E10_20x__PC_C391_F",-0.73,0.598533885563482
"163","Q567V2",11.78,"MPV17L2","PC_C391_E4_20x__PC_C391_F",-1.35,0.0941504472010766
"164","Q567V2",11.78,"MPV17L2","PC_C391_E6_20x__PC_C391_F",-1.74,0.0269237751668062
"165","Q567V2",11.78,"MPV17L2","PC_C391_E8_20x__PC_C391_F",-1.02,0.276603922988739
"166","Q567V2",11.78,"MPV17L2","PC_C391_E9_20x__PC_C391_F",-1.3,0.112374744900669
"167","Q567V2",11.78,"MPV17L2","PC_C391_F__CRF",4.8,2.80448607942185e-05
"168","Q567V2",11.78,"MPV17L2","screen_C391_F__CRF",5.96,1.46e-06
"169","Q9H773",11.6,"DCTPP1","PC_C391_E1_20x__PC_C391_F",-1.41,0.0549212026418022
"170","Q9H773",11.6,"DCTPP1","PC_C391_E10_20x__PC_C391_F",-0.82,0.411302651788904
"171","Q9H773",11.6,"DCTPP1","PC_C391_E4_20x__PC_C391_F",-1.44,0.0494862872301083
"172","Q9H773",11.6,"DCTPP1","PC_C391_E6_20x__PC_C391_F",-2,0.00783811086992092
"173","Q9H773",11.6,"DCTPP1","PC_C391_E8_20x__PC_C391_F",-1.22,0.105991302478068
"174","Q9H773",11.6,"DCTPP1","PC_C391_E9_20x__PC_C391_F",-1.72,0.0187464726831382
"175","Q9H773",11.6,"DCTPP1","PC_C391_F__CRF",2.99,0.00053053752717457
"176","Q9H773",11.6,"DCTPP1","screen_C391_F__CRF",3.99,0.00021199
"177","Q13126",11.3,"MTAP","PC_C391_E1_20x__PC_C391_F",-1.51,0.0105603080496491
"178","Q13126",11.3,"MTAP","PC_C391_E10_20x__PC_C391_F",-0.54,0.593154408558163
"179","Q13126",11.3,"MTAP","PC_C391_E4_20x__PC_C391_F",-1.25,0.0312690319382092
"180","Q13126",11.3,"MTAP","PC_C391_E6_20x__PC_C391_F",-2.39,0.00051043947506113
"181","Q13126",11.3,"MTAP","PC_C391_E8_20x__PC_C391_F",-1.29,0.0257176024000176
"182","Q13126",11.3,"MTAP","PC_C391_E9_20x__PC_C391_F",-1.12,0.0537649194802741
"183","Q13126",11.3,"MTAP","PC_C391_F__CRF",3.2,5.95050408725983e-05
"184","Q13126",11.3,"MTAP","screen_C391_F__CRF",4.16,1.3e-06
"185","Q8IXJ6",11.09,"SIRT2","PC_C391_E1_20x__PC_C391_F",-1.16,0.0608834475706609
"186","Q8IXJ6",11.09,"SIRT2","PC_C391_E10_20x__PC_C391_F",-0.55,0.624175262246869
"187","Q8IXJ6",11.09,"SIRT2","PC_C391_E4_20x__PC_C391_F",-1.32,0.0303517615951631
"188","Q8IXJ6",11.09,"SIRT2","PC_C391_E6_20x__PC_C391_F",-1.85,0.00411291543343684
