fid,smiles,tert_amine,proj_x,proj_y,sign_0,sign_1,sign_2,sign_3,sign_4,sign_5,sign_6,sign_7,sign_8,sign_9
C078,C#CCCC1(CCNC(=O)c2nccc3ccn(C)c23)N=N1,0,9.915885,-11.986371,0.0,0.5232446725172027,0.6104849341684717,0.0,0.0,0.0799145519833859,0.0,0.02945847990656,0.0,0.0
C079,C#CCCC1(CCNC(=O)[C@H]2CC[C@@H](CN(C)C)O2)N=N1,1,8.083941,-13.859302,0.0,0.0,0.6930077993652679,0.0,0.0,0.0071448511755314,0.0,0.0084751008276391,0.0,0.0
C080,C#CCCC1(CCC(=O)NCCn2cnnc2CC)N=N1,0,-1.7490749,4.599619,0.0,0.0217194230017837,0.0,0.3275748227042196,0.0,0.0,0.0,0.223856278659039,0.0,0.0
C081,C#CCCC1(CCC(=O)N2CCOCC2c2c(C)nn(CC(F)(F)F)c2C)N=N1,0,-1.4724118,2.0387602,0.0128242044090825,0.0656656111986316,0.0,0.4258217499379121,0.0212969826302534,0.0486173217437427,0.0022434437513697,0.0,0.0408529110370394,0.0140655696521888
C082,C#CCCC1(CCC(=O)Nc2cc(S(=O)(=O)N(CC)CC)cc(C)c2C)N=N1,0,3.1402397,-7.59718,0.0761547039114888,0.0,0.0038541438304012,0.0,0.0,0.0,0.3358186933062307,0.0322351980228418,0.539152495581532,0.0
C083,C#CCCC1(CCNC(=O)C(c2ccccc2)n2sc3ccccc3c2=O)N=N1,0,-1.6244428,-4.2977695,0.0008639001104514,0.0036416774528698,0.0186803385271017,0.0500931509025862,0.0605853790708482,0.0,0.0496344503206375,0.0171057710383719,0.0945992620420897,0.0
C084,C#CCCC1(CCNC(=O)c2cccc(S(=O)(=O)N3CCNC(=O)C3)c2)N=N1,0,16.20658,4.9865975,0.0,0.4034691122296773,0.0,0.0,0.0204682920986532,0.2093211251488445,0.0,0.0,0.5303343692520883,0.0
C085,C#CCCC1(CCNC(=O)CC23CC4CC(C2)CC(n2nnc(C)n2)(C4)C3)N=N1,0,0.119945906,-0.27099308,0.0,0.0603145968096654,0.0196961978864509,0.2493555209096288,0.0,0.0,0.0,0.0,0.1660160912807436,0.0
C086,C#CCCC1(CCC(=O)N2CCNC(=O)C2c2ccccc2C(F)(F)F)N=N1,0,-3.7792175,0.3026434,0.0,0.1383315435215199,0.0,0.2547065915481221,0.0,0.0838850026844382,0.0,0.0347915587825344,0.118072383662465,0.0
C087,C#CCCC1(CCNC(=O)c2nn(C)c3nc(-c4cn(C)nc4C)ccc23)N=N1,0,-6.288177,-12.711998,0.0,0.3996067138957399,0.0817959269276323,0.187644022242179,0.0,0.1066926381060728,0.0,0.7310409008037843,0.2988143660577493,0.0
C088,C#CCCC1(CCC(=O)NC2CCN(S(=O)(=O)C(C)C)CC2CC)N=N1,0,1.6192423,-1.7062584,0.0,0.0,0.0,0.2277702025967723,0.0,0.0,0.0,0.0,0.3078501937939839,0.0
C089,C#CCCC1(CCC(=O)N2Cc3cccnc3N3C[C@H](OCC)C[C@H]3C2)N=N1,0,-3.3705945,16.29602,0.0,0.454381121932879,0.0,0.3733429767500114,0.0,0.0,0.0,0.0155491379851915,0.3270555411161429,0.0
C091,C#CCCC1(CCC(=O)Nc2cc(F)cc(N3C[C@@H](C)O[C@@H](C)C3)c2)N=N1,0,7.234623,8.285864,0.2180340328143922,0.0,0.0,0.0027537332533397,0.0,0.0005577604128296,0.0376576435124469,0.0,0.0993007736409898,1.1792826019114235
C092,C#CCCC1(CCC(=O)Nc2ccn(Cc3cccc4ccccc34)n2)N=N1,0,7.0120254,8.831724,0.4166227258454555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1496978223171781,0.8716889222675211
C093,C#CCCC1(CCC(=O)NC[C@]2(S(C)(=O)=O)C[C@@H]2C(F)(F)F)N=N1,0,1.9044604,-4.48318,0.0364662573407274,0.0,0.0,0.0470274846876328,0.0397144721447068,0.001750439976955,0.1434220079856341,0.0,0.2612646856149674,0.0663153544578031
C094,C#CCCC1(CCC(=O)NCc2ccc(C3(C(F)(F)F)N=N3)cc2)N=N1,0,7.1847677,9.194551,0.376945558792968,0.0,0.0,0.0042294224680929,0.0,0.0,0.0,0.0,0.0,0.8265290434188275
C095,C#CCCC1(CCC(=O)Nc2n[nH]c3c2c(-c2ccccc2)nn3C)N=N1,0,8.857325,12.583888,0.5924537488385255,0.0910894380732098,0.0,0.0,0.0902687493105595,0.0,0.1359451549272931,0.0362871332850693,0.0997393537034522,0.1405666898884445
C096,C#CCCC1(CCC(=O)NCC(=O)NCC2CC3CCC(C2)N3C)N=N1,1,-7.389941,-11.500806,0.0028071817338489,0.0166450622550371,0.0449835775505246,0.0262474107558133,0.0,0.0133549192708678,0.0,0.668964614755404,0.0,0.0
C097,C#CCCC1(CCC(=O)NCCNS(=O)(=O)c2ccn(C)c2)N=N1,0,-4.6148305,4.509729,0.0,0.0,0.0,0.4963439155139799,0.0,0.1080599680794763,0.0,0.5328095274751292,0.0,0.0
C098,C#CCCC1(CCNC(=O)[C@@H]2[C@@H](c3ccncc3Cl)C2(C)C)N=N1,0,9.909929,13.30208,0.5103656661319264,0.0802460361937106,0.0,0.0433812322120086,0.0,0.0214686670117049,0.0,0.0,0.0992589851935036,0.0
C099,C#CCCC1(CCNC(=O)Cc2nc(-c3cccs3)oc2C)N=N1,0,-5.8726625,10.210864,0.0188283406971215,0.2021480028248282,0.0640092063012904,0.0090006450933014,0.0271716599118043,0.0016161577834006,0.0555087122430392,0.0,0.0001904099378376,0.0
C100,C#CCCC1(CCNC(=O)c2n[nH]c(C(F)(F)F)c2C(C)C)N=N1,0,8.842696,11.816077,0.592950906605733,0.0,0.0,0.0,0.3473779839328466,0.0,0.0,0.0,0.0,0.3022927169146499
C101,C#CCCC1(CCC(=O)N2CC(CC)N(C(C)=O)CC2CC)N=N1,0,-1.815167,3.2796862,0.002442600024052,0.0,0.0,0.4533525419658618,0.0,0.0005572297904904,0.0,0.0211219506781741,0.0,0.0
C102,C#CCCC1(CCNC(=O)c2cc3c(cc2Cl)NC(=O)C3)N=N1,0,15.753286,4.798057,0.0,0.4689624126262049,0.0,0.0,0.0078935971637192,0.2373780009462464,0.0,0.0950397794288316,0.2902988000925023,0.0
C103,C#CCCC1(CCNC(=O)C2CCC3NC(=O)C(C)(C)C3C2)N=N1,0,1.3235562,-6.7378116,0.0003149165790865,0.0,0.0,0.1243467951547016,0.0,0.0213767296452371,0.0,0.0,0.3599939442727232,0.0076398382065441
C104,C#CCCC1(CCC(=O)N(C)C[C@@H]2OCC[C@@H]2c2ncn[nH]2)N=N1,0,0.31124073,-6.3914385,0.0,0.0,0.0,0.0736517148042713,0.0,0.0257412381190906,0.0,0.0,0.2883278367291529,0.0
C105,C#CCCC1(CCNC(=O)C2(c3cc(C)no3)CCOCC2)N=N1,0,1.4512725,-7.7896676,0.0,0.0,0.1387379793626181,0.0214786068569833,0.0,0.0,0.0,0.0,0.4218116663474551,0.0
C106,C#CCCC1(CCC(=O)N(C)C2(c3cccc(Cl)c3)CC2)N=N1,0,5.645024,-7.066656,0.0,0.0,0.044915093276493,0.0,0.0,0.0085399848762518,0.435364523916324,0.1312610206966333,0.5241834256764962,0.2011762555051062
C107,C#CCCC1(CCNC(=O)CC2CCCC(C(F)(F)F)C2)N=N1,0,5.698922,-6.747541,0.1632746461923372,0.0,0.1372194890827302,0.0,0.0,0.0,0.5724483748844504,0.0,0.2591903743063938,0.2128850036461039
C108,C#CCCC1(CCC(=O)N2CCC3CCC32c2cccs2)N=N1,0,5.6067004,-7.073579,0.0,0.0,0.1300632036230072,0.0,0.0,0.0,0.3672783063378211,0.0910195160652785,0.6431557535949846,0.0
