fragId,SMILES,SMILES Naked,HBD,HBA,cLogP,Heteroatoms,Rings,Rot. Bonds,Aromatic Bonds,Acidic Groups,Basic Groups,Atomic Polarizability
C257,C#CCCC1(CCC(=O)Nc2ccccc2-n2ccc(C(N)=O)n2)N=N1,CC(=O)Nc1ccccc1-n1ccc(C(N)=O)n1,2,4,0.9295999999999998,6,2,3,11,0,0,35.125516000000005
C258,C#CCCC1(CCC(=O)Nc2ccc(C(F)F)nc2)N=N1,CC(=O)Nc1ccc(C(F)F)nc1,1,2,1.9775999999999998,5,1,2,6,0,0,23.530344
C259,C#CCCC1(CCC(=O)NCCN2CCS(=O)CC2)N=N1,CC(=O)NCCN1CC[S+]([O-])CC1,1,3,-0.8131999999999988,5,1,3,0,0,1,31.452688000000002
C260,C#CCCC1(CCNC(=O)CS(=O)(=O)c2ccccc2Cl)N=N1,CNC(=O)CS(=O)(=O)c1ccccc1Cl,1,3,0.8596999999999997,6,1,3,6,0,0,31.09393
C261,C#CCCC1(CCC(=O)NCC(c2c(F)cccc2F)N(C)C)N=N1,CC(=O)NCC(c1c(F)cccc1F)N(C)C,1,2,1.7036,5,1,4,6,0,1,35.904688
C262,C#CCCC1(CCNC(=O)c2cc(NC(=O)C(C)C)c(F)cc2F)N=N1,CNC(=O)c1cc(NC(=O)C(C)C)c(F)cc1F,2,2,1.9188999999999996,6,1,3,6,0,0,35.373101999999996
C264,C#CCCC1(CCC(=O)Nc2cccnc2OCc2ccccc2)N=N1,CC(=O)NC(C(N)=O)c1ccc2ccccc2c1,2,2,1.5022999999999997,4,2,3,11,0,0,37.779101999999995
C265,C#CCCC1(CCC(=O)N2CCCN(S(=O)(=O)c3ccc(Cl)s3)CC2)N=N1,CC(=O)N1CCCN(S(=O)(=O)c2ccc(Cl)s2)CC1,0,4,1.6443999999999999,8,2,2,5,0,0,41.947895
C266,C#CCCC1(CCNC(=O)c2ccc3cnc(C4CC4)n3c2C)N=N1,CNC(=O)c1ccc2cnc(C3CC3)n2c1C,1,3,1.87972,4,3,2,10,0,0,36.983895000000004
C268,C#CCCC1(CCC(=O)N2C[C@@H]3CS(=O)(=O)C[C@@]3(C#N)C2)N=N1,CC(=O)N1C[C@@H]2CS(=O)(=O)C[C@@]2(C#N)C1,0,4,-0.5969199999999995,6,2,0,0,0,0,31.347516000000006
C269,C#CCCC1(CCNC(=O)c2sc(-c3nnc[nH]3)nc2C(C)C)N=N1,CNC(=O)c1sc(-c2nnc[nH]2)nc1C(C)C,2,5,1.4111999999999998,7,2,3,10,0,0,35.47030900000001
C270,C#CCCC1(CCC(=O)N2CCc3nc(CCC(C)(C)C)ncc3C2)N=N1,CC(=O)N1CCc2nc(CCC(C)(C)C)ncc2C1,0,3,2.3599000000000006,4,2,2,6,0,0,45.83823900000001
